task_mode_id,task_id,cell_resource_id,machine_resource_id,duration_15minutes,,,,,
249970e7-3341-4552-88de-bc057a587ab8,859aa6dd-6842-4e76-ad92-4a6a157ebe90,71eaf0da-5564-4e44-b715-c3468c54e03d,6eb6438d-1747-48fa-b8a9-b6dfd71a0743,2,,,,,
836269c4-19ee-4ce1-b75a-8bd593e139e5,0fd49b9c-4647-4677-a4b6-0d473de019f8,e1c1aab5-05ec-4fbc-a6da-5c9352757641,ca332d8b-89db-4800-9475-b2f12a72b8f4,6,,,,,
d0b92791-842f-44b0-8e66-3c49fbb6a2ac,3169b744-950d-4697-91bd-70fbe57ef6de,bdae843e-b535-4c0c-9264-f34f61dca49d,ca332d8b-89db-4800-9475-b2f12a72b8f4,1,,,,,
ca99febb-6637-4161-8f6b-83e960244554,d54241b8-fb7e-4463-9bf3-200e323902f2,bdae843e-b535-4c0c-9264-f34f61dca49d,eab2fb03-3ea8-45c3-9d33-fdc481966dc7,7,,,,,
9c21fb35-b591-44df-afe1-f9f52377b3c9,42186ee7-4f52-41a0-a7cf-51f70d7abfb6,bdae843e-b535-4c0c-9264-f34f61dca49d,eab2fb03-3ea8-45c3-9d33-fdc481966dc7,1,,,,,
a81af64a-7420-40ff-857f-f3997b4aefca,e7f0ec1b-eccf-496a-903c-e3b7e5e903cf,bdae843e-b535-4c0c-9264-f34f61dca49d,6eb6438d-1747-48fa-b8a9-b6dfd71a0743,7,,,,,
1702e14f-65a0-4777-8939-63b48e06b669,15fb7396-f27a-4985-9098-21681d5c2571,bdae843e-b535-4c0c-9264-f34f61dca49d,c4d2e54b-7ef4-4e96-b5b7-aa87b5be3b66,1,,,,,
2335b45f-a53d-48ca-826c-bd6d4ddefe94,b48de04e-5510-4966-9291-65ee5de5eb34,bdae843e-b535-4c0c-9264-f34f61dca49d,6eb6438d-1747-48fa-b8a9-b6dfd71a0743,15,,,,,
5896eedb-0322-4707-a22e-81a976dcc350,03e9d9e5-446b-42f3-a2c6-ae2ecb7f0a6e,e1c1aab5-05ec-4fbc-a6da-5c9352757641,ca332d8b-89db-4800-9475-b2f12a72b8f4,7,,,,,
a97232f1-993d-45e6-8b78-5278a7f9af0d,1120b4cc-4d84-40d0-a6d8-0fa2f91e5486,bdae843e-b535-4c0c-9264-f34f61dca49d,ca332d8b-89db-4800-9475-b2f12a72b8f4,1,,,,,
355f3f43-e213-4a48-ad2b-99c3464f2897,bd96af77-e9f5-492a-bea5-8ae9396703b4,bdae843e-b535-4c0c-9264-f34f61dca49d,6eb6438d-1747-48fa-b8a9-b6dfd71a0743,7,,,,,
92e80485-3274-49d2-80d2-1ffa7114ad3d,433e8420-3ee7-4011-aa18-a6e02adc5a51,e1c1aab5-05ec-4fbc-a6da-5c9352757641,505524ca-b5b9-49ca-9240-a6c21060115b,55,,,,,
ac32102b-9914-4a65-97c2-94d283f4535b,049ef2eb-a2e4-4eed-9b26-35b64c7076a0,e1c1aab5-05ec-4fbc-a6da-5c9352757641,8630e3b2-c7db-4ef4-a012-85ee5c6fdda0,13,,,,,
b0c6dd21-095c-44d4-b879-829d35744c52,4f3cc922-d79b-4505-80e8-be61959f6d8a,e1c1aab5-05ec-4fbc-a6da-5c9352757641,7ac85200-2100-49e0-839b-ad37e704e1ed,6,,,,,
ccf36dba-a5c9-4725-8038-f07a6fe9b53d,006e37ea-e1e7-45b1-8f01-e754b11db0af,e1c1aab5-05ec-4fbc-a6da-5c9352757641,8630e3b2-c7db-4ef4-a012-85ee5c6fdda0,91,,,,,
5c84e8a2-f91e-460d-82a4-127dbb661688,2b4b66ca-db3d-4ab3-8884-320e0cc0988a,e1c1aab5-05ec-4fbc-a6da-5c9352757641,7ac85200-2100-49e0-839b-ad37e704e1ed,9,,,,,
761556fa-859f-4acf-af13-1ae2933e25e2,3f5425a8-7bde-4016-92ea-d36d140261b2,bdae843e-b535-4c0c-9264-f34f61dca49d,8630e3b2-c7db-4ef4-a012-85ee5c6fdda0,1,,,,,
f444e5c2-425f-4bc2-b999-12fb2383acad,eee56cf4-76a0-4079-a414-6dd95a900e49,bdae843e-b535-4c0c-9264-f34f61dca49d,7ac85200-2100-49e0-839b-ad37e704e1ed,9,,,,,
74660a2d-6ffd-4c48-8363-0c452aeec4be,f3d15339-74ad-4f0b-a9cb-d3015869da40,e1c1aab5-05ec-4fbc-a6da-5c9352757641,8630e3b2-c7db-4ef4-a012-85ee5c6fdda0,9,,,,,
ae6c356a-b4d6-4548-a219-cb0d457c6b99,f8fa4dbf-1f88-4f53-8829-d3795d9a8cd7,de20da6e-ff97-4c79-b79f-a154f1b73271,7ac85200-2100-49e0-839b-ad37e704e1ed,9,,,,,
60e5d69d-33b2-4791-ba82-67262bae8bfd,7165be7b-5d2e-4f67-a9bf-c7ae6d736861,91ba4bf0-6a0f-4d49-af2e-db966832374f,aa6a2760-1884-4c5c-9433-42d2b78eef0b,7,,,,,
d5a4778a-0a41-4abe-bd82-6068cb577c97,7165be7b-5d2e-4f67-a9bf-c7ae6d736861,7cc7000e-c432-4f64-ba05-2175dca04643,477aa476-9dda-4b10-851b-6304e005cce7,7,,,,,
68a8f3a7-fbcd-4ea0-af46-d65cd5942d2c,a51d13c1-7e42-405e-bf41-6302a2210f9d,91ba4bf0-6a0f-4d49-af2e-db966832374f,aa6a2760-1884-4c5c-9433-42d2b78eef0b,7,,,,,
16ee99de-2b59-4920-8547-38e54f632c1e,a51d13c1-7e42-405e-bf41-6302a2210f9d,7cc7000e-c432-4f64-ba05-2175dca04643,477aa476-9dda-4b10-851b-6304e005cce7,7,,,,,
55a56015-6a38-4440-a227-4d6e96370e27,32554d02-738f-4ad2-88cb-e60bd645ae27,91ba4bf0-6a0f-4d49-af2e-db966832374f,aa6a2760-1884-4c5c-9433-42d2b78eef0b,7,,,,,
a01afe4e-5a00-4f99-bff4-f424041b1f18,32554d02-738f-4ad2-88cb-e60bd645ae27,7cc7000e-c432-4f64-ba05-2175dca04643,477aa476-9dda-4b10-851b-6304e005cce7,7,,,,,
9326f8d5-9db3-429e-858f-c87db23936e1,eb903482-8009-44b3-8aff-c902881ac701,91ba4bf0-6a0f-4d49-af2e-db966832374f,aa6a2760-1884-4c5c-9433-42d2b78eef0b,7,,,,,
c1213151-a7f9-4329-ba6b-d951fe183520,eb903482-8009-44b3-8aff-c902881ac701,7cc7000e-c432-4f64-ba05-2175dca04643,477aa476-9dda-4b10-851b-6304e005cce7,7,,,,,
b2fa5f92-f86d-42ad-961a-a7a3ebadf5b8,c30ea316-9463-4522-96a6-4004f37611b5,91ba4bf0-6a0f-4d49-af2e-db966832374f,aa6a2760-1884-4c5c-9433-42d2b78eef0b,7,,,,,
9912b4ba-1ac7-4718-99b2-d0ee50c24d5e,c30ea316-9463-4522-96a6-4004f37611b5,7cc7000e-c432-4f64-ba05-2175dca04643,477aa476-9dda-4b10-851b-6304e005cce7,7,,,,,
e129cd13-2e8d-4b7b-b2f3-7f35dcad6db2,1ed3e46c-a0c7-436a-87b4-25c06504680d,91ba4bf0-6a0f-4d49-af2e-db966832374f,aa6a2760-1884-4c5c-9433-42d2b78eef0b,7,,,,,
46ad273f-42b2-45e5-aafc-01712aa01ecf,1ed3e46c-a0c7-436a-87b4-25c06504680d,7cc7000e-c432-4f64-ba05-2175dca04643,477aa476-9dda-4b10-851b-6304e005cce7,7,,,,,
3435e4e6-4954-4f98-8785-694ff3661516,81b60f18-6884-4808-aae6-4bf04a058487,91ba4bf0-6a0f-4d49-af2e-db966832374f,aa6a2760-1884-4c5c-9433-42d2b78eef0b,7,,,,,
477c0da1-f2a9-4b7c-a630-c292d859b39b,81b60f18-6884-4808-aae6-4bf04a058487,7cc7000e-c432-4f64-ba05-2175dca04643,477aa476-9dda-4b10-851b-6304e005cce7,7,,,,,
62353888-f385-424e-b1b9-8631869f632a,c3f381d1-bec8-4737-aa19-56eb9cdcdc4f,91ba4bf0-6a0f-4d49-af2e-db966832374f,aa6a2760-1884-4c5c-9433-42d2b78eef0b,7,,,,,
23e8a1ba-2e5a-4f0a-bbe9-f83496afc5a6,c3f381d1-bec8-4737-aa19-56eb9cdcdc4f,7cc7000e-c432-4f64-ba05-2175dca04643,477aa476-9dda-4b10-851b-6304e005cce7,7,,,,,
61b0e46d-13db-47fe-9d2a-6a3f557817a4,28fdce3e-7c63-4945-ba6f-ddc3d76d82dd,91ba4bf0-6a0f-4d49-af2e-db966832374f,aa6a2760-1884-4c5c-9433-42d2b78eef0b,9,,,,,
fffb5163-a9c0-4810-b63c-413ea7cb3370,28fdce3e-7c63-4945-ba6f-ddc3d76d82dd,7cc7000e-c432-4f64-ba05-2175dca04643,477aa476-9dda-4b10-851b-6304e005cce7,9,,,,,
3800d037-acd2-404c-8cd5-8d0751b520bd,cf3a02d3-3a41-4e20-ae85-d075683c626b,91ba4bf0-6a0f-4d49-af2e-db966832374f,aa6a2760-1884-4c5c-9433-42d2b78eef0b,9,,,,,
93aa8353-bf61-4d4e-91e9-f917e485ce3c,cf3a02d3-3a41-4e20-ae85-d075683c626b,7cc7000e-c432-4f64-ba05-2175dca04643,477aa476-9dda-4b10-851b-6304e005cce7,9,,,,,
5959799b-349f-4673-a7ba-679c31709cb7,188e22da-529c-49fd-9fdb-b03bfe965b43,91ba4bf0-6a0f-4d49-af2e-db966832374f,aa6a2760-1884-4c5c-9433-42d2b78eef0b,9,,,,,
1f34579f-2096-4c6c-a028-2ec85ff24b18,188e22da-529c-49fd-9fdb-b03bfe965b43,7cc7000e-c432-4f64-ba05-2175dca04643,477aa476-9dda-4b10-851b-6304e005cce7,9,,,,,
5ed31d73-13ae-4dc0-8c96-5dbd895404af,7bf4b8c2-dd01-4426-8cc7-18a8b7c036bf,91ba4bf0-6a0f-4d49-af2e-db966832374f,aa6a2760-1884-4c5c-9433-42d2b78eef0b,9,,,,,
820678ea-5346-45bc-978f-402746957c3f,7bf4b8c2-dd01-4426-8cc7-18a8b7c036bf,7cc7000e-c432-4f64-ba05-2175dca04643,477aa476-9dda-4b10-851b-6304e005cce7,9,,,,,
97bec19d-ea93-405b-bc57-f7e337b92478,991e58c0-079e-42a7-9fe7-047696e0c7b7,91ba4bf0-6a0f-4d49-af2e-db966832374f,aa6a2760-1884-4c5c-9433-42d2b78eef0b,9,,,,,
b39790ed-e3f4-4c45-9513-ceeb5144deea,991e58c0-079e-42a7-9fe7-047696e0c7b7,7cc7000e-c432-4f64-ba05-2175dca04643,477aa476-9dda-4b10-851b-6304e005cce7,9,,,,,
c163cc8f-6559-4f8e-88ec-5ecf7341d03f,68dd258c-7736-4355-8c06-ed2de6f2f881,91ba4bf0-6a0f-4d49-af2e-db966832374f,aa6a2760-1884-4c5c-9433-42d2b78eef0b,9,,,,,
b6ee0e1f-21d7-423a-80da-e239e7e65c73,68dd258c-7736-4355-8c06-ed2de6f2f881,7cc7000e-c432-4f64-ba05-2175dca04643,477aa476-9dda-4b10-851b-6304e005cce7,9,,,,,
0baec3aa-2746-42ee-b6c4-9d70214e972b,b492a51b-7c25-41b4-bc23-090a6fed7bd7,91ba4bf0-6a0f-4d49-af2e-db966832374f,aa6a2760-1884-4c5c-9433-42d2b78eef0b,9,,,,,
c8db0535-1748-4a5a-aa8b-6d63f921211f,b492a51b-7c25-41b4-bc23-090a6fed7bd7,7cc7000e-c432-4f64-ba05-2175dca04643,477aa476-9dda-4b10-851b-6304e005cce7,9,,,,,
69398ea3-479d-4953-9fa4-69ae8f50dab8,fe9f5152-e1c0-41bb-a0e8-85f3784a4fbb,91ba4bf0-6a0f-4d49-af2e-db966832374f,aa6a2760-1884-4c5c-9433-42d2b78eef0b,9,,,,,
ea5aaf7b-9b5d-4d8a-b1c1-8dcec3e97cda,fe9f5152-e1c0-41bb-a0e8-85f3784a4fbb,7cc7000e-c432-4f64-ba05-2175dca04643,477aa476-9dda-4b10-851b-6304e005cce7,9,,,,,
e2fc6382-0342-444d-bad0-9b0315222993,764fa65a-39f8-4a51-adb9-ea1be435ce00,ff3c07db-9f4b-4986-8e4a-438701ab4cca,44964f33-19fe-46be-8200-24b4d7ec8e7a,12,,,,,
4a0912a7-35fd-4658-8f11-ea0145d719ab,764fa65a-39f8-4a51-adb9-ea1be435ce00,74bcbc71-8611-48de-b421-17b4d8f4ce32,e8a62dc1-3d66-4b16-9f4f-55d90763ca8d,12,,,,,
417f7f7f-597c-4e79-9c81-8c74f647d6b2,493a4a8e-4b70-46b6-bc53-2aa1bedf06dd,ff3c07db-9f4b-4986-8e4a-438701ab4cca,44964f33-19fe-46be-8200-24b4d7ec8e7a,15,,,,,
fe24aa44-03f3-4121-981d-44c0deb3ed69,493a4a8e-4b70-46b6-bc53-2aa1bedf06dd,74bcbc71-8611-48de-b421-17b4d8f4ce32,e8a62dc1-3d66-4b16-9f4f-55d90763ca8d,15,,,,,
3d89e145-6281-4c8d-b857-d82a2f4234e6,c7fcc17d-a1f6-4483-b117-cdf822124d09,ff3c07db-9f4b-4986-8e4a-438701ab4cca,44964f33-19fe-46be-8200-24b4d7ec8e7a,15,,,,,
971a357e-82b5-4fe1-a8ff-ff8103def1bf,c7fcc17d-a1f6-4483-b117-cdf822124d09,74bcbc71-8611-48de-b421-17b4d8f4ce32,e8a62dc1-3d66-4b16-9f4f-55d90763ca8d,15,,,,,
ee9db4f2-bb6a-40fd-91de-f304c34bd518,2108b3aa-a54d-4735-ac01-0734ff616b22,ff3c07db-9f4b-4986-8e4a-438701ab4cca,44964f33-19fe-46be-8200-24b4d7ec8e7a,1,,,,,
6f4c3c4b-e5a7-471e-9710-bbf79bd41098,2108b3aa-a54d-4735-ac01-0734ff616b22,74bcbc71-8611-48de-b421-17b4d8f4ce32,e8a62dc1-3d66-4b16-9f4f-55d90763ca8d,1,,,,,
d9bb2ab1-f830-43d8-b9a4-d8b5c85abc50,742cde02-9e95-436d-824d-1ffbb691bc6a,ff3c07db-9f4b-4986-8e4a-438701ab4cca,44964f33-19fe-46be-8200-24b4d7ec8e7a,97,,,,,
330ccd7e-60ef-48f3-a23d-49e26f843f56,742cde02-9e95-436d-824d-1ffbb691bc6a,74bcbc71-8611-48de-b421-17b4d8f4ce32,e8a62dc1-3d66-4b16-9f4f-55d90763ca8d,97,,,,,
aebefebd-a45e-465f-acd3-e093fd702fe4,c57c1e7d-ed00-4ad5-ba45-84c5c63ab0e1,ff3c07db-9f4b-4986-8e4a-438701ab4cca,44964f33-19fe-46be-8200-24b4d7ec8e7a,5,,,,,
e5f7d970-5eda-4d5d-b689-e6f090a68a85,c57c1e7d-ed00-4ad5-ba45-84c5c63ab0e1,74bcbc71-8611-48de-b421-17b4d8f4ce32,e8a62dc1-3d66-4b16-9f4f-55d90763ca8d,5,,,,,
8cc8918a-9a12-4b3c-a14b-d165b55da0e1,879b76a2-8bfa-4775-addc-e3f52a3512ed,ff3c07db-9f4b-4986-8e4a-438701ab4cca,44964f33-19fe-46be-8200-24b4d7ec8e7a,1,,,,,
89e7ab84-617d-4a3b-b1e7-3fdb675aacda,879b76a2-8bfa-4775-addc-e3f52a3512ed,74bcbc71-8611-48de-b421-17b4d8f4ce32,e8a62dc1-3d66-4b16-9f4f-55d90763ca8d,1,,,,,
376ee5b7-5f9f-4257-9b4b-b13e756085aa,813e9239-0b04-40ca-b3cd-e0a121a9e441,ff3c07db-9f4b-4986-8e4a-438701ab4cca,44964f33-19fe-46be-8200-24b4d7ec8e7a,49,,,,,
b8032ec4-168b-4614-868b-e11d56069098,813e9239-0b04-40ca-b3cd-e0a121a9e441,74bcbc71-8611-48de-b421-17b4d8f4ce32,e8a62dc1-3d66-4b16-9f4f-55d90763ca8d,49,,,,,
f60bbd7e-faed-45dc-9d97-5d0ee6ce0dc3,65759d44-6a36-42fc-9f20-038c9d369992,ff3c07db-9f4b-4986-8e4a-438701ab4cca,44964f33-19fe-46be-8200-24b4d7ec8e7a,14,,,,,
e5527067-7565-458d-9823-64fbdad3f487,65759d44-6a36-42fc-9f20-038c9d369992,74bcbc71-8611-48de-b421-17b4d8f4ce32,e8a62dc1-3d66-4b16-9f4f-55d90763ca8d,14,,,,,
79826398-4cc8-47c6-9e89-b9e8ccc21cc9,b6203b50-7aad-4e87-a5ce-81f5a8f39049,ff3c07db-9f4b-4986-8e4a-438701ab4cca,44964f33-19fe-46be-8200-24b4d7ec8e7a,14,,,,,
37e31583-9d8e-4f28-aac7-269b2da75b50,b6203b50-7aad-4e87-a5ce-81f5a8f39049,74bcbc71-8611-48de-b421-17b4d8f4ce32,e8a62dc1-3d66-4b16-9f4f-55d90763ca8d,14,,,,,
