task_id,sequence_id,department_id,name,is_unattended,is_setup,wip limit,max_batch_size,setup_for_task_id,created_at,updated_at
28fdce3e-7c63-4945-ba6f-ddc3d76d82dd,NULL,FH,measure spot bundle 1,FALSE,FALSE,10,1,NULL,,
cf3a02d3-3a41-4e20-ae85-d075683c626b,NULL,FH,measure spot bundle 2,FALSE,FALSE,10,1,NULL,,
188e22da-529c-49fd-9fdb-b03bfe965b43,NULL,FH,measure spot bundle 3,FALSE,FALSE,10,1,NULL,,
7bf4b8c2-dd01-4426-8cc7-18a8b7c036bf,NULL,FH,measure spot bundle 4,FALSE,FALSE,10,1,NULL,,
991e58c0-079e-42a7-9fe7-047696e0c7b7,NULL,FH,measure spot bundle 5,FALSE,FALSE,10,1,NULL,,
68dd258c-7736-4355-8c06-ed2de6f2f881,NULL,FH,measure spot bundle 6,FALSE,FALSE,10,1,NULL,,
b492a51b-7c25-41b4-bc23-090a6fed7bd7,NULL,FH,measure spot bundle 7,FALSE,FALSE,10,1,NULL,,
fe9f5152-e1c0-41bb-a0e8-85f3784a4fbb,NULL,FH,measure spot bundle 8,FALSE,FALSE,10,1,NULL,,
764fa65a-39f8-4a51-adb9-ea1be435ce00,6ba7b810-9dad-11d1-80b4-00c04fd430c8,FH,lay align fiber and instal,FALSE,FALSE,10,1,NULL,,
493a4a8e-4b70-46b6-bc53-2aa1bedf06dd,6ba7b810-9dad-11d1-80b4-00c04fd430c8,FH,inspect clean initial test 1,FALSE,FALSE,10,1,NULL,,
c7fcc17d-a1f6-4483-b117-cdf822124d09,6ba7b810-9dad-11d1-80b4-00c04fd430c8,FH,inspect clean initial test 2,FALSE,FALSE,10,1,NULL,,
2108b3aa-a54d-4735-ac01-0734ff616b22,6ba7b810-9dad-11d1-80b4-00c04fd430c8,FH,cure and cooldown setup,FALSE,TRUE,10,1,NULL,,
742cde02-9e95-436d-824d-1ffbb691bc6a,6ba7b810-9dad-11d1-80b4-00c04fd430c8,FH,cure and cooldown,TRUE,FALSE,10,1,2108b3aa-a54d-4735-ac01-0734ff616b22,,
c57c1e7d-ed00-4ad5-ba45-84c5c63ab0e1,6ba7b810-9dad-11d1-80b4-00c04fd430c8,FH,move bundles up and glue,FALSE,FALSE,10,1,NULL,,
879b76a2-8bfa-4775-addc-e3f52a3512ed,6ba7b810-9dad-11d1-80b4-00c04fd430c8,FH,cure and cooldown two setup,FALSE,TRUE,10,1,NULL,,
813e9239-0b04-40ca-b3cd-e0a121a9e441,6ba7b810-9dad-11d1-80b4-00c04fd430c8,FH,cure and cooldown two,TRUE,FALSE,10,1,879b76a2-8bfa-4775-addc-e3f52a3512ed,,
65759d44-6a36-42fc-9f20-038c9d369992,6ba7b810-9dad-11d1-80b4-00c04fd430c8,FH,install cover and final test 1,FALSE,FALSE,10,1,NULL,,
b6203b50-7aad-4e87-a5ce-81f5a8f39049,6ba7b810-9dad-11d1-80b4-00c04fd430c8,FH,install cover and final test 2,FALSE,FALSE,10,1,NULL,,
eac5062e-82b9-4275-849b-e2e4df105dbe,6ba7b811-9dad-11d1-80b4-00c04fd430c8,FH,mount to cart subassembly,FALSE,FALSE,10,1,NULL,,
975471b1-d3a2-4daa-851a-657fb8e87b43,6ba7b811-9dad-11d1-80b4-00c04fd430c8,FH,cure cone setup,FALSE,TRUE,10,1,NULL,,
9a5f737f-a0ba-48b8-b453-bbacd95659e4,6ba7b811-9dad-11d1-80b4-00c04fd430c8,FH,cure cone,TRUE,FALSE,10,1,975471b1-d3a2-4daa-851a-657fb8e87b43,,
1a4318a7-03cb-4518-95ab-6226af9bbe12,6ba7b811-9dad-11d1-80b4-00c04fd430c8,FH,cure cone two setup,FALSE,TRUE,10,1,NULL,,
8ee1c724-bf4e-4a06-9213-10ef93a6e70d,6ba7b811-9dad-11d1-80b4-00c04fd430c8,FH,cure cone two,TRUE,FALSE,10,1,1a4318a7-03cb-4518-95ab-6226af9bbe12,,
99b7970b-e063-4af1-ab7d-47c3c418c25b,6ba7b811-9dad-11d1-80b4-00c04fd430c8,FH,move to transport cart sub,FALSE,FALSE,10,1,NULL,,
43741849-5824-41d5-82a4-c9083ece16bc,NULL,OB,lens cell mfg 1,FALSE,FALSE,10,1,NULL,,
0027d4bf-5c00-4447-9e89-44417fc0daa1,NULL,OB,lens cell mfg 2,FALSE,FALSE,10,1,NULL,,
c04784c2-390d-462b-ac04-ebc9f306659f,NULL,OB,setup bake,FALSE,TRUE,10,1,NULL,,
90bfee12-0143-4604-a977-f9a5918ad521,NULL,OB,bake,TRUE,FALSE,10,1,c04784c2-390d-462b-ac04-ebc9f306659f,,
37a4ccdb-4e05-46dd-b449-02938841d674,f47ac10b-58cc-4372-a567-0e02b2c3d479,OB,lca inspect + epoxy + align,FALSE,FALSE,10,1,NULL,,
31735305-30ba-42fd-8c22-1160de2a5689,f47ac10b-58cc-4372-a567-0e02b2c3d479,OB,setup cure 1,FALSE,TRUE,10,1,NULL,,
14eb5511-39e2-4194-93b6-39e2eba7ace2,f47ac10b-58cc-4372-a567-0e02b2c3d479,OB,cure 1,TRUE,FALSE,10,1,31735305-30ba-42fd-8c22-1160de2a5689,,
7862ce4c-d3f7-408b-a527-7cfbd3378306,f47ac10b-58cc-4372-a567-0e02b2c3d479,OB,spacer inspect + epoxy + align,FALSE,FALSE,10,1,NULL,,
7b98342f-525e-49c9-a2be-43f317c5e70f,f47ac10b-58cc-4372-a567-0e02b2c3d479,OB,setup cure 2,FALSE,TRUE,10,1,NULL,,
f076d44c-6cd7-4ad1-ab33-f14731247034,f47ac10b-58cc-4372-a567-0e02b2c3d479,OB,cure 2,TRUE,FALSE,10,1,7b98342f-525e-49c9-a2be-43f317c5e70f,,
879d8270-0475-446f-b46a-81b002b46f25,f47ac10b-58cc-4372-a567-0e02b2c3d479,OB,lcb inspect + epoxy + align,FALSE,FALSE,10,1,NULL,,
