resource_id,department_id,skill,skill_level
3c5d31f8-8a0e-4b79-8ffa-8a419fd31797,FH,a5ea5d33-9805-4317-af33-a8b9430b1ead,3
3c5d31f8-8a0e-4b79-8ffa-8a419fd31797,FH,62475c34-e801-4502-a3f0-5f1655bbcb0e,3
3c5d31f8-8a0e-4b79-8ffa-8a419fd31797,FH,48a3f5ef-fcd6-4c61-9ed0-b5cc1c311bdf,3
3c5d31f8-8a0e-4b79-8ffa-8a419fd31797,FH,a5ea5d33-9805-4317-af33-a8b9430b1ead,2
0afb67d6-aae4-4214-8566-811807d62429,FH,a5ea5d33-9805-4317-af33-a8b9430b1ead,3
0afb67d6-aae4-4214-8566-811807d62429,FH,62475c34-e801-4502-a3f0-5f1655bbcb0e,3
0afb67d6-aae4-4214-8566-811807d62429,FH,48a3f5ef-fcd6-4c61-9ed0-b5cc1c311bdf,3
0afb67d6-aae4-4214-8566-811807d62429,FH,a5ea5d33-9805-4317-af33-a8b9430b1ead,2
d4cf2c5a-0a4e-4152-90a4-2bccd3d02c36,FH,a5ea5d33-9805-4317-af33-a8b9430b1ead,2
d4cf2c5a-0a4e-4152-90a4-2bccd3d02c36,FH,62475c34-e801-4502-a3f0-5f1655bbcb0e,3
d4cf2c5a-0a4e-4152-90a4-2bccd3d02c36,FH,48a3f5ef-fcd6-4c61-9ed0-b5cc1c311bdf,1
d4cf2c5a-0a4e-4152-90a4-2bccd3d02c36,FH,a5ea5d33-9805-4317-af33-a8b9430b1ead,3
88c45821-566d-4002-8acd-33a7200b8bf1,MS,7af41b3d-857c-44d6-90c3-8256c7872530,2
a0708d90-f55b-47d1-9329-71574aa8354e,OB,74b9b220-d33a-4cfb-a5dd-a104d731400b,1
a0708d90-f55b-47d1-9329-71574aa8354e,OB,273f712f-d293-4690-821b-594568ee4a53,2
a0708d90-f55b-47d1-9329-71574aa8354e,OB,0c7669fe-69c5-4c83-b2e9-f8c32dc2cb21,2
a0708d90-f55b-47d1-9329-71574aa8354e,OB,aa1a4309-167a-4621-950f-198624e077dc,2
a0708d90-f55b-47d1-9329-71574aa8354e,OB,74b9b220-d33a-4cfb-a5dd-a104d731400b,1
a0708d90-f55b-47d1-9329-71574aa8354e,OB,273f712f-d293-4690-821b-594568ee4a53,2
a0708d90-f55b-47d1-9329-71574aa8354e,OB,0c7669fe-69c5-4c83-b2e9-f8c32dc2cb21,1
33764212-472d-4b5b-8cf8-63469f9a976c,OB,74b9b220-d33a-4cfb-a5dd-a104d731400b,1
33764212-472d-4b5b-8cf8-63469f9a976c,OB,273f712f-d293-4690-821b-594568ee4a53,1
33764212-472d-4b5b-8cf8-63469f9a976c,OB,0c7669fe-69c5-4c83-b2e9-f8c32dc2cb21,2
33764212-472d-4b5b-8cf8-63469f9a976c,OB,aa1a4309-167a-4621-950f-198624e077dc,2
33764212-472d-4b5b-8cf8-63469f9a976c,OB,74b9b220-d33a-4cfb-a5dd-a104d731400b,2
33764212-472d-4b5b-8cf8-63469f9a976c,OB,273f712f-d293-4690-821b-594568ee4a53,2
33764212-472d-4b5b-8cf8-63469f9a976c,OB,0c7669fe-69c5-4c83-b2e9-f8c32dc2cb21,2
552cbd1b-5343-4ad6-824d-3e1a71089003,OB,74b9b220-d33a-4cfb-a5dd-a104d731400b,3
552cbd1b-5343-4ad6-824d-3e1a71089003,OB,273f712f-d293-4690-821b-594568ee4a53,3
552cbd1b-5343-4ad6-824d-3e1a71089003,OB,0c7669fe-69c5-4c83-b2e9-f8c32dc2cb21,3
552cbd1b-5343-4ad6-824d-3e1a71089003,OB,aa1a4309-167a-4621-950f-198624e077dc,3
552cbd1b-5343-4ad6-824d-3e1a71089003,OB,74b9b220-d33a-4cfb-a5dd-a104d731400b,3
552cbd1b-5343-4ad6-824d-3e1a71089003,OB,273f712f-d293-4690-821b-594568ee4a53,3
552cbd1b-5343-4ad6-824d-3e1a71089003,OB,0c7669fe-69c5-4c83-b2e9-f8c32dc2cb21,3
