mode_code,mode_uuid
S50A,86a03f9a-b3a5-4ae7-84ff-465708d846cb
T50A,f2b13875-c83c-4c29-98c7-c5bc49b130ee
T51A,ca2cf189-93e2-4f6e-a016-3d6055daff7a
T52A,8924718b-9c9f-4726-a34d-34f29517a1e1
T53A,710fa913-1c1d-4f35-a974-e4b7a86702e9
S54A,5923b3f3-d216-4ea0-98c8-8d69ddc41efc
T54A,6eff1a76-2d94-425a-90cf-3c6bab32d1ee
T55A,cec8ddbf-6b01-4373-979a-f3ddad94aaf5
T55B,8d64538a-eadb-4ceb-9154-48961ce02ac4
S56A,f76f7504-b2b4-4e09-8b57-d6a5fa517e23
S56B,a812139c-1fc3-41bc-8f2a-a739a85d2d2d
T56A,41ee48c4-cb41-429a-973f-8105129a407a
T56B,00c1313f-a1d0-424d-a018-6ec22b145a88
T57A,e2b09f1c-058c-4c3f-b058-5975cfc962d8
T57B,3387fac0-6016-4124-9cee-3b3487486b3b
S58A,ab375712-4cbd-4f51-8530-1f10539ee203
S58B,ad52f637-26b2-483b-a3c6-91258a98da7d
T58A,9e97273b-8162-4062-a226-4dc7289df9fb
T58B,49861bcc-6b9a-49fa-9f2e-304f1a9ad846
T59A,f108bd99-8f54-4443-81e7-572dd7b182e1
T59B,3bd7f8bc-bb0f-4729-9b1e-a2838bbbbd28
S60A,6a7cdd01-18cf-4dbb-bb66-3b99731432da
T60A,0da98fe5-c9c7-43e6-84e3-7d8878e56ba4
T60B,80396874-18d0-442f-b27b-569e5646a8ed
T61A,c1cb4406-0612-48db-a176-0bb30e2e8c42
T61B,372d4b9d-5b00-45c2-861e-d07c6b4cb791
S62A,bd8589e3-07fb-46ee-92de-479124877450
S62B,235f8387-09c2-4230-bb7a-7c098c762ee8
T62A,1a8627c9-35fa-4fb9-983e-ff900ca9b95b
T62B,57df7e11-801b-440e-8507-0568fa252df3
T63A,08dd4ba5-3274-4936-bfa3-fff90417c5ca
T63B,94b930e8-ffe9-4e08-895b-84efe5cc2204
S64A,6626b7d0-0aef-4486-8349-a2dfaa522c78
S64B,2397e331-6325-4b2f-9005-ebc79e17c6af
T64A,b37bc067-d1db-4ff1-95f5-a8985ba36204
T64B,c15b41f2-aeaa-48b2-9e7b-12d76646429e
T65A,90dd0869-217f-48b4-a676-5e241b8dca4c
T66A,c8a5bb17-50d9-4a76-852d-71bf4da3c17d
T67A,0b7f1862-943a-4637-9a02-432fed31b221
T68A,bd2ff252-33d4-40e7-af95-00f07560fa73
T69A,63a2567f-efb0-456d-a22f-2ef492828dc6
T70A,2de7a63a-b6d4-49ba-9b66-550e0fec55b9
T71A,d04c9c80-da80-4fd4-bb10-956e41d6bc03
T72A,f412e4ec-8a82-4c1b-9d0b-6a3277d0d94c
T73A,82c555db-a331-4fb2-a87f-27b24dfe2124
T74A,43d15022-d378-4fe5-823f-be35b2bda7d2
T75A,b6e162d3-70c5-49c9-82c2-8aa28ff6eb10
T76A,40997487-2b49-4264-81f2-d9039c813870
T77A,2cc75427-3e64-4755-9ce8-999cbef5a4ad
S78A,66bbaabd-965b-41b7-a138-ab9ce7f4d3b2
T78A,98f0dfe9-8457-4b7e-95ba-9751c7b7cd7e
T79A,a552f735-fe5e-4470-9d68-a9fb2cbc8946
T80A,0425d873-c847-4a68-bc4c-9cac72686768
